Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
,CA-2017-152156,08/11/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-BO-10001798,Furniture,Bookcases, Bush Somerset Collection Bookcase ,261.96
2.0,CA-2017-152156,08/11i2017,11/11/2017,Second Class,cg-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,,South,FUR-CH-10000454,FURNITURE,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
3.0,CA-2017-138688,12/06/2017,16/06/2017,Second Claus,DV-13045,Darrin Van Hkff,,United States,Los Angeles,CALIFORNIA,90036.0,,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
,US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,,South,FUR-TA-10000577,Furniture,lables,,957.5775
5.0,US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-2i335,,Consumer,,Fort Lauderdale,Florida,33311.0,South, OFF-ST-10000760 ,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368
6.0,CA-2015-115812,09/06/2015,14/06/2015,Standard Class, BH-11710 ,Brosina Hoffman,Consumer,United States,Los Angeles,California,375219.4971618363,,FUR-FU-10001487, Furniture ,,"Eloon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
7.0,CA-2015-115812,09/06/2015,,Standard Clazs,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,west,OyF-AR-10002833,Office Supplies,Art,Newell 322,7.28
8.0,,09/06/2015,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,,United States,Los Angeles,California,90032.0,,TEC-PH-10002275,technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152
9.0,CA-2015-115812,09/06/2015,,Standard Class,BH/1171m,Brosina Hoffman,Consumer,United States,uos Angeles,california,,WEST,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504
10.0,CA-2015-115812,09/06/2015,14/06/2015,Standard Class, BH-11710 ,Brosina Hoffman,Consumer,United States,Los Angeles,California,,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C2k6VTEL 6 Outlet Surge,114.9
